id;en_name;bg_name
http://www.wikidata.org/entity/Q2016770;Zlatovrah;_________
http://www.wikidata.org/entity/Q2016815;Kara Mihal;____ _____
http://www.wikidata.org/entity/Q2016912;Zelena Morava;______ ______
http://www.wikidata.org/entity/Q2017257;Kyolmen;_______
http://www.wikidata.org/entity/Q2017308;Malko Krushevo;_____ _______
http://www.wikidata.org/entity/Q2017345;Lyubenova Mahala;________ ______
http://www.wikidata.org/entity/Q2017420;Malki Iskar;_____ _____
http://www.wikidata.org/entity/Q2017444;Malko Yonkovo;_____ _______
http://www.wikidata.org/entity/Q2017465;Lavino;______
http://www.wikidata.org/entity/Q2017490;Malko Vranovo;_____ _______
http://www.wikidata.org/entity/Q2017496;Lyubichevo;________
http://www.wikidata.org/entity/Q2017520;Malka Cherkovna;_____ ________
http://www.wikidata.org/entity/Q2017629;Malka Vereya;_____ _____
http://www.wikidata.org/entity/Q2017637;Malko Kadievo;_____ _______
http://www.wikidata.org/entity/Q2017714;Mala Rakovitsa;____ ________
http://www.wikidata.org/entity/Q2017722;Malko Dryanovo;_____ _______
http://www.wikidata.org/entity/Q2017781;Lyaskovo;_______
http://www.wikidata.org/entity/Q2017835;Malko Tranovo;_____ _______
http://www.wikidata.org/entity/Q2017844;Malko Chochoveni;_____ ________
http://www.wikidata.org/entity/Q2017854;Malo Krushevo;____ _______
http://www.wikidata.org/entity/Q2017921;Malak Porovets;_____ _______
http://www.wikidata.org/entity/Q2017962;Manolovo;________
http://www.wikidata.org/entity/Q2018064;Manaselska Reka;__________ ____
http://www.wikidata.org/entity/Q2018077;Marino Pole;______ ____
http://www.wikidata.org/entity/Q2018323;Medovene;________
http://www.wikidata.org/entity/Q2018408;Mechovo;______
http://www.wikidata.org/entity/Q2018464;Malak Dol;_____ ___
http://www.wikidata.org/entity/Q2018563;Novi Izvor;____ _____
http://www.wikidata.org/entity/Q2018613;Polkovnik Cholakovo;_________ ________
http://www.wikidata.org/entity/Q2018620;Ploska Mogila;______ ______
http://www.wikidata.org/entity/Q2018697;Ostri Pazlak;_____ ______
http://www.wikidata.org/entity/Q2018851;Momino Selo;______ ____
http://www.wikidata.org/entity/Q2018859;Nayden Gerovo;______ ______
http://www.wikidata.org/entity/Q2018866;Panayot-volovo;_______-______
http://www.wikidata.org/entity/Q2018877;Podgoritsa;_________
http://www.wikidata.org/entity/Q2019119;Nova Popina;____ ______
http://www.wikidata.org/entity/Q2019169;Polsko Padarevo;______ ________
http://www.wikidata.org/entity/Q2019174;Polsko Kosovo;______ ______
http://www.wikidata.org/entity/Q2019198;Orach;____
http://www.wikidata.org/entity/Q2019246;Polkovnik Taslakovo;_________ _________
http://www.wikidata.org/entity/Q2019264;Polkovnik Lambrinovo;_________ __________
http://www.wikidata.org/entity/Q2019331;Pet Kladentsi;___ ________
http://www.wikidata.org/entity/Q2019346;Osikovska Lakavitsa;_________ ________
http://www.wikidata.org/entity/Q2019444;Otets Kirilovo;____ ________
http://www.wikidata.org/entity/Q2019604;Ostra Mogila;_____ ______
http://www.wikidata.org/entity/Q2020814;Riben Dol;_____ ___
http://www.wikidata.org/entity/Q2020834;Sini Vir;____ ___
http://www.wikidata.org/entity/Q2020992;Sladak Kladenets;______ ________
http://www.wikidata.org/entity/Q2021039;Staychin Dol;_______ ___
http://www.wikidata.org/entity/Q2021094;Stoil Voyvoda;_____ _______
http://www.wikidata.org/entity/Q2021219;Sredno Gradishte;______ _______
http://www.wikidata.org/entity/Q2021225;Stara Rechka;_____ _____
http://www.wikidata.org/entity/Q2021334;Stoyan-zaimovo;_____-_______
http://www.wikidata.org/entity/Q2021413;Sadiysko Pole;________ ____
http://www.wikidata.org/entity/Q2021501;Stoyan Mihaylovski;_____ ___________
http://www.wikidata.org/entity/Q2019668;Nova Mahala;____ ______
http://www.wikidata.org/entity/Q2020069;Razdeltsi;________
http://www.wikidata.org/entity/Q2020116;Profesor Ishirkovo;________ ________
http://www.wikidata.org/entity/Q2020221;Ravno Pole;_____ ____
http://www.wikidata.org/entity/Q2020262;Ravno Nivishte;_____ ______
http://www.wikidata.org/entity/Q2021548;Staro Selishte;_____ ______
http://www.wikidata.org/entity/Q2021817;Todor Ikonomovo;_____ _________
http://www.wikidata.org/entity/Q2021871;Topolovets;_________
http://www.wikidata.org/entity/Q2021918;Tanka Bara;_____ ____
http://www.wikidata.org/entity/Q2021985;Chervena Voda;_______ ____
http://www.wikidata.org/entity/Q2022116;Tsani Ginchevo;____ _______
http://www.wikidata.org/entity/Q2022177;Han Asparuhovo;___ __________
http://www.wikidata.org/entity/Q2022204;Tsarev Dol;_____ ___
http://www.wikidata.org/entity/Q2022272;Cherni Bryag;_____ ____
http://www.wikidata.org/entity/Q2022399;Yakim Gruevo;____ ______
http://www.wikidata.org/entity/Q2024498;Borovo;______
http://www.wikidata.org/entity/Q2058371;Malka Arda;_____ ____
http://www.wikidata.org/entity/Q2058401;Benkovski;_________
http://www.wikidata.org/entity/Q2058471;Gledachevo;_________
http://www.wikidata.org/entity/Q2457020;Dolno Ablanovo;_____ ________
http://www.wikidata.org/entity/Q2457220;Golemanovo;__________
http://www.wikidata.org/entity/Q2457375;Glavatsi;_______
http://www.wikidata.org/entity/Q2457833;Izvor Mahala;_____ ______
http://www.wikidata.org/entity/Q2454079;Belashtitsa;________
http://www.wikidata.org/entity/Q2454634;Belokopitovo;____________
http://www.wikidata.org/entity/Q2454645;Bozyova;_______
http://www.wikidata.org/entity/Q2455647;Bozhurka;_______
http://www.wikidata.org/entity/Q2455658;Bayachevo;_______
http://www.wikidata.org/entity/Q2455712;Alvanovo;________
http://www.wikidata.org/entity/Q2455768;Golyamo Novo;______ ____
http://www.wikidata.org/entity/Q2455844;Golyamo Sokolovo;______ ________
http://www.wikidata.org/entity/Q2459882;Brest;_____
http://www.wikidata.org/entity/Q2461538;Radko Dimitrievo;_____ __________
http://www.wikidata.org/entity/Q2461810;Sinya Voda;____ ____
http://www.wikidata.org/entity/Q2462560;Tsar Shishmanovo;___ _________
http://www.wikidata.org/entity/Q2462649;Tsar-petrovo;___-_______
http://www.wikidata.org/entity/Q2480793;Butan;_____
http://www.wikidata.org/entity/Q3563482;Q3563482;Q3563482
http://www.wikidata.org/entity/Q3658266;Valchovtsi;________
http://www.wikidata.org/entity/Q4071396;Asparuhovo;__________
http://www.wikidata.org/entity/Q4095459;Boyana;_____
http://www.wikidata.org/entity/Q4096244;Brezovo (Oblast Veliko Tarnovo);_______ (______ ______ _______)
http://www.wikidata.org/entity/Q4098610;Bukovets (Oblast Vratsa);_______ (______ _____)
http://www.wikidata.org/entity/Q4098629;Bukovo (Oblast Smolyan);______ (______ ______)
http://www.wikidata.org/entity/Q4098711;Bulair;______
http://www.wikidata.org/entity/Q4100891;Bazovets;_______
http://www.wikidata.org/entity/Q4101082;Barzina;_______
http://www.wikidata.org/entity/Q4101544;Byal Izvor;___ _____
http://www.wikidata.org/entity/Q4101545;Byal Kladenets;___ ________
http://www.wikidata.org/entity/Q4101549;Byala Voda;____ ____
http://www.wikidata.org/entity/Q4101550;Byala Reka;____ ____
http://www.wikidata.org/entity/Q4104187;Vasil Levski (Oblast Silistra);_____ ______ (______ ________)
http://www.wikidata.org/entity/Q4104190;Vasil Levski (Oblast Targovishte);_____ ______ (______ _________)
http://www.wikidata.org/entity/Q4106374;Velikdenche;__________
http://www.wikidata.org/entity/Q4106644;Velikovo;________
http://www.wikidata.org/entity/Q4106898;Velichkovo;_________
http://www.wikidata.org/entity/Q4106901;Velichkovo;_________
http://www.wikidata.org/entity/Q4106913;Velkovtsi (Oblast Veliko Tarnovo);________ (______ ______ _______)
http://www.wikidata.org/entity/Q4107128;Venelin;_______
http://www.wikidata.org/entity/Q4107146;Venets (Oblast Stara Zagora);_____ (______ _____ ______)
http://www.wikidata.org/entity/Q4109335;Veselets;_______
http://www.wikidata.org/entity/Q4109336;Veselets (Oblast Targovishte);_______ (______ _________)
http://www.wikidata.org/entity/Q4109339;Veselina (Oblast Veliko Tarnovo);________ (______ ______ _______)
http://www.wikidata.org/entity/Q4109345;Veselinovo (Oblast Yambol);__________ (______ _____)
http://www.wikidata.org/entity/Q4111476;Vinarovo;________
http://www.wikidata.org/entity/Q4112182;Viskyar;______
http://www.wikidata.org/entity/Q4112222;Visok;_____
http://www.wikidata.org/entity/Q4113020;Vladimir;________
http://www.wikidata.org/entity/Q4113940;Voden;_____
http://www.wikidata.org/entity/Q4113960;Voditsa;______
http://www.wikidata.org/entity/Q4113993;Vodno;_____
http://www.wikidata.org/entity/Q4113994;Vodno (Oblast Silistra);_____ (______ ________)
http://www.wikidata.org/entity/Q4114044;Vodnyantsi;________
http://www.wikidata.org/entity/Q4122849;Vokil;_____
http://www.wikidata.org/entity/Q4128506;Vabel;_____
http://www.wikidata.org/entity/Q4128744;Vaglen;______
http://www.wikidata.org/entity/Q4129124;Varba;_____
http://www.wikidata.org/entity/Q4129125;Varba (Oblast Smolyan);_____ (______ ______)
http://www.wikidata.org/entity/Q4129136;Varbovo (Oblast Smolyan);_______ (______ ______)
http://www.wikidata.org/entity/Q4129168;Varli Dol;_____ ___
http://www.wikidata.org/entity/Q4130959;Gabritsa;_______
http://www.wikidata.org/entity/Q4133621;Garvan;______
http://www.wikidata.org/entity/Q4135252;General Kolevo;_______ ______
http://www.wikidata.org/entity/Q4135257;General Toshevo;_______ ______
http://www.wikidata.org/entity/Q4139108;Glavan;______
http://www.wikidata.org/entity/Q4139112;Glavanovtsi;__________
http://www.wikidata.org/entity/Q4139562;Glashatay;________
http://www.wikidata.org/entity/Q4142867;Golyam izvor (Oblast Razgrad);_____ _____ (______ _______)
http://www.wikidata.org/entity/Q4143474;Goranovtsi (Oblast Veliko Tarnovo);_________ (______ ______ _______)
http://www.wikidata.org/entity/Q4144813;Gorovo;______
http://www.wikidata.org/entity/Q4146413;Gospodinovo (Oblast Silistra);___________ (______ ________)
http://www.wikidata.org/entity/Q4147395;Gradina;_______
http://www.wikidata.org/entity/Q4147402;Gradishte;_______
http://www.wikidata.org/entity/Q4147632;Gramade;_______
http://www.wikidata.org/entity/Q4153183;Galabovo;________
http://www.wikidata.org/entity/Q4153613;Davidovo;________
http://www.wikidata.org/entity/Q4156007;Dvorishte;_______
http://www.wikidata.org/entity/Q4157244;Delchevo;_______
http://www.wikidata.org/entity/Q4160566;Dzhulyunitsa;_________
http://www.wikidata.org/entity/Q4160567;Dzhulyunitsa (Oblast Ruse);_________ (______ ____)
http://www.wikidata.org/entity/Q4161745;Dimovtsi;_______
http://www.wikidata.org/entity/Q4161746;Dimovtsi (Oblast Stara Zagora);_______ (______ _____ ______)
http://www.wikidata.org/entity/Q4163418;Dobrevtsi (Oblast Veliko Tarnovo);________ (______ ______ _______)
http://www.wikidata.org/entity/Q4163452;Dobri Dol;_____ ___
http://www.wikidata.org/entity/Q4163793;Dobrotitsa (Oblast Targovishte);_________ (______ _________)
http://www.wikidata.org/entity/Q4164243;Doyrantsi;________
http://www.wikidata.org/entity/Q4164789;Dolets;_____
http://www.wikidata.org/entity/Q4164919;Dolina;______
